Date,Price,Open,High,Low,Change %,Volume,Log_Returns,Realized_Volatility,Moving_Avg_7,RSI_14
2014-01-29,97.36,97.17,97.75,96.32,-0.05%,0.10466177594724412,0.4680526386156916,0.04313850880043383,0.7747253493393448,0.7484839279062707
2014-01-30,98.23,97.42,98.59,97.33,0.89%,0.10405138678136658,0.4836874387248356,0.04225513625028563,0.7791251918141203,0.7728993604291988
2014-01-31,97.49,97.97,98.39,97.1,-0.75%,0.1348788919440039,0.4563411618458636,0.03753560670965503,0.780157253629191,0.7857919258646847
2014-02-03,96.43,97.4,97.94,96.26,-1.09%,0.15761160994420928,0.45074067975244475,0.04068949141929484,0.7789486549247002,0.6908799102465161
2014-02-04,97.19,96.53,97.82,96.37,0.79%,0.1068238086002122,0.48194985008609775,0.04145357904784694,0.779695541764554,0.6621605124664187
2014-02-05,97.38,97.67,98.26,96.8,0.20%,0.1258713733185775,0.4721508243886729,0.036449893580318166,0.7819497820448402,0.6830445631844023
2014-02-06,97.84,97.25,98.83,97.25,0.47%,0.12393752353135803,0.47673612324065806,0.024804925488371356,0.7825337117559988,0.6848258999198147
2014-02-07,99.88,97.97,100.24,97.11,2.09%,0.14454814088010132,0.5031938835462257,0.04010820287120299,0.785955811458602,0.7740228450281148
2014-02-10,100.06,100.05,100.55,99.11,0.18%,0.13354972675101826,0.47189746030671226,0.03887183366116313,0.788440907671207,0.7512455864158156
2014-02-11,99.94,99.97,100.6,99.6,-0.12%,0.12373786352382798,0.46691184661395735,0.03491814183260268,0.7917679490487379,0.6858070586805288
2014-02-12,100.37,100.46,101.38,100.04,0.43%,0.17208981277595864,0.4760394449743533,0.022916597439539575,0.7971183747742364,0.6795571937938295
2014-02-13,100.35,100.27,100.66,99.4,-0.02%,0.11677258154685163,0.4685746106014996,0.02412689451160547,0.8014095791632152,0.7314768495124153
2014-02-14,100.3,100.34,100.47,99.43,-0.05%,0.12137046629168616,0.4680776383397224,0.025120754972999225,0.8053748692948032,0.812007909041072
2014-02-18,102.43,100.32,103.25,100.23,1.83%,0.09147280630697441,0.49918988399006115,0.02083245527251258,0.8125585627181249,0.8300980105324746
2014-02-19,103.31,103.14,103.8,102.4,0.86%,0.05655512327579322,0.48311971191531117,0.021729105434988454,0.8169719849536251,0.8303780848350346
2014-02-20,102.92,103.41,103.5,102.75,-0.38%,0.010975595842508186,0.4626213539192407,0.023793488372122917,0.8210187536495607,0.8665638757197492
2014-02-21,102.2,102.87,102.92,101.69,-0.70%,0.08912822736140742,0.4572409850107324,0.029435195671234593,0.8235038498621655,0.9046136146653948
2014-02-24,102.82,102.29,103.45,101.97,0.61%,0.09175233031751645,0.4789552656328168,0.029372168897614057,0.8268580507611456,0.9015647155210257
